Accuracy,Precision,Recall,F1,AUC,Channel
0.9442467378410438,0.2958579881656805,0.42016806722689076,0.3472222222222222,0.8033411950700969,F-4
0.9387913223140496,0.4020618556701031,0.39195979899497485,0.3969465648854962,0.8404519192751123,F-5
0.8465227817745803,0.099601593625498,0.04409171075837742,0.061124694376528114,0.3253405803927928,F-7
0.7693885925318014,0.39344262295081966,0.08955223880597014,0.1458966565349544,0.7065566434005669,F-8
0.9299204181019124,0.0,0.0,0.0,0.27643535951228254,G-1
0.9377650116263165,0.0,0.0,0.0,0.4699249173094695,G-2
0.9373806796487208,0.0,0.0,0.0,0.6504514076053132,G-3
0.9531785808493801,0.1368421052631579,0.6582278481012658,0.22657952069716775,0.7795312254844896,G-4
0.9710490036345407,0.7268170426065163,0.7038834951456311,0.7151664611590629,0.8274707114822794,G-7
0.4575662325999102,0.3125,0.030017152658662092,0.054773082942097026,0.5084890302200422,M-1
0.47103726986977995,0.44642857142857145,0.04288164665523156,0.0782472613458529,0.8429779990073767,M-2
0.8300433317284545,0.2403846153846154,0.08361204013377926,0.12406947890818859,0.5909273882570699,M-3
0.7992957746478874,0.0,0.0,0.0,0.5363467330414584,M-4
0.8064802485574789,0.11504424778761062,0.03724928366762178,0.05627705627705628,0.6145650237172233,M-5
0.950975487743872,1.0,0.5050505050505051,0.6711409395973155,0.991603991048744,M-6
0.9615384615384616,0.8207547169811321,0.5838926174496645,0.6823529411764706,0.8270740381284873,M-7
0.8528681253696038,0.08747044917257683,0.041340782122905026,0.05614567526555387,0.44162129407939466,P-1
0.9322314049586777,0.1188118811881188,0.2011173184357542,0.14937759336099585,0.8213042232962131,P-10
0.8602582496413199,0.03428571428571429,0.018518518518518517,0.02404809619238477,0.7519611116969549,P-11
0.9355371900826446,0.23432343234323433,0.31004366812227074,0.2669172932330827,0.7357369680174701,P-14
0.925160370634355,0.0,0.0,0.0,0.5203888738860383,P-15
0.8938595416104915,1.0,0.3202511773940345,0.48513674197384066,0.9022504728387081,P-2
0.7859765486201588,0.0,0.0,0.0,0.43056823085684903,P-3
0.8740462950989267,0.0,0.0,0.0,0.6498597516581632,P-4
0.7381872584465777,0.0,0.0,0.0,0.5752244793306593,P-7
0.9320266889074229,0.0,0.0,0.0,0.600516795865633,R-1
0.8818843565444308,0.0,0.0,0.0,0.4245278365464616,S-1
0.9167135621834552,0.0,0.0,0.0,0.47945975809474956,S-2
0.9126050420168067,0.33613445378151263,0.23668639053254437,0.2777777777777778,0.7768312819977574,T-12
0.8710084033613446,0.6722689075630253,0.22988505747126436,0.3426124197002141,0.742420128518418,T-13
0.8957083525611444,0.0,0.0,0.0,0.45774442359808215,T-4
0.915590405904059,0.0,0.0,0.0,0.4472237280260203,T-5
0.8148400272294077,0.0,0.0,0.0,0.7010983159684969,T-8
0.8479923518164436,0.9622641509433962,0.24519230769230768,0.39080459770114945,0.9201108408298145,T-9
