Channel,Accuracy,Precision,Recall,F1,AUC
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.7939989383489261
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.8993769467650654
F-4,0.9446116797110174,0.4550898203592814,0.44970414201183434,0.4523809523809524,0.8135785022998667
F-5,0.93432757718472,0.4947916666666667,0.3815261044176707,0.4308390022675737,0.840616313560989
F-7,0.8161081953976584,0.10887096774193548,0.03765690376569038,0.05595854922279793,0.32241306495313093
F-8,0.7846669459572685,0.5916666666666667,0.13246268656716417,0.21646341463414634,0.7215391841441092
G-1,0.9237662803202294,0.0,0.0,0.0,0.1415525114155251
G-2,0.9308635174218427,0.0,0.0,0.0,0.6351436121532429
G-3,0.9308313052388881,0.0,0.0,0.0,0.6360309261184076
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.8727165919536077
G-6,0.9266978922716628,0.0,0.0,0.0,0.9367139016024855
G-7,0.9790641947282129,1.0,0.7046263345195729,0.826722338204593,0.8838950460527301
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.488603916099577
M-2,0.5144694533762058,1.0,0.09348198970840481,0.17098039215686275,0.8190640518617675
M-3,0.8238776517020227,0.46078431372549017,0.1346704871060172,0.20842572062084258,0.591167169266182
M-4,0.7801857585139319,0.10309278350515463,0.02865329512893983,0.04484304932735426,0.45817141847335097
M-5,0.7684975034044484,0.0,0.0,0.0,0.6986979644232533
M-6,0.9486916367367881,1.0,0.494949494949495,0.6621621621621622,0.9871155876295796
M-7,0.953307392996109,1.0,0.5175879396984925,0.6821192052980133,0.8639752342758488
P-1,0.8381915526472338,0.12589073634204276,0.05071770334928229,0.0723055934515689,0.36466104118993137
P-10,0.9258333333333333,0.14,0.18340611353711792,0.15879017013232513,0.820662565954301
P-11,0.8375545851528384,0.11046511627906977,0.04481132075471698,0.06375838926174497,0.6829706171710019
P-14,0.9248333333333333,0.21333333333333335,0.22939068100358423,0.22107081174438686,0.7655333835789543
P-15,0.9067489114658926,0.0,0.0,0.0,0.5082774861935673
P-2,0.8867924528301887,1.0,0.3066465256797583,0.46936416184971097,0.9114793606832203
P-3,0.7791016323126415,0.0,0.0,0.0,0.31121263555437173
P-4,0.853963295587661,0.0,0.0,0.0,0.7054395392094315
P-7,0.7305231464057207,0.0,0.0,0.0,0.8198263268040018
R-1,0.9248320268756999,0.0,0.0,0.0,0.7317753973378465
S-1,0.8752593002350989,0.008287292817679558,0.005494505494505495,0.006607929515418502,0.32356514091742217
S-2,0.8865083960625362,0.0,0.0,0.0,0.5852054297411007
T-1,0.7464755639097744,0.0,0.0,0.0,0.802163040664364
T-12,0.9107296137339056,0.5470085470085471,0.2922374429223744,0.38095238095238093,0.808342472242591
T-13,0.8579399141630901,1.0,0.2611607142857143,0.41415929203539825,0.7078620768179749
T-2,0.74158357771261,0.00936768149882904,0.002242152466367713,0.003618272274988693,0.8372026345707247
T-3,0.9523528718009199,0.4716981132075472,0.5263157894736842,0.4975124378109453,0.6842098764629811
T-4,0.8710439300897497,0.0,0.0,0.0,0.4808751727314602
T-5,0.8914069877242682,0.0,0.0,0.0,0.406259099880286
T-8,0.7892882311486963,0.49295774647887325,0.1174496644295302,0.1897018970189702,0.7229403277275205
T-9,0.7600401606425703,1.0,0.17301038062283736,0.2949852507374631,0.9613846703503766
